workerid,rt,trial_type,name,object_level,sentence,gender,object,question,effect,cause,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,2859,cause_effect_prior,Christopher,object_mid,Christopher pushed  15 shopping carts.,M,shopping carts,How many of the shopping carts do you think rolled?,rolled,pushed __,8,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1464,cause_effect_prior,Kathleen,object_low,Kathleen threw  15 baseballs  against a wall.,F,baseballs,How many of the baseballs do you think stuck to the wall?,stuck to the wall,threw __ against a wall,8,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1548,cause_effect_prior,Jonathan,object_mid,Jonathan spilled red nail polish on  15 white shirts.,M,white shirts,How many of the white shirts do you think got stained?,got stained,spilled red nail polish on __,7,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,864,cause_effect_prior,Emma,object_high,Emma told a joke to  15 kids.,F,kids,How many of the kids do you think laughed?,laughed,told a joke to __,9,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1836,cause_effect_prior,Joseph,object_mid,Joseph left  15 hats  on a table on a windy day.,M,hats,How many of the hats do you think blew away?,blew away,left __ on a table on a windy day,7,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1140,cause_effect_prior,George,object_high,George glued  15 stickers  to a piece of paper.,M,stickers,How many of the stickers do you think stuck?,stuck,glued __ to a piece of paper,11,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1212,cause_effect_prior,Janet,object_mid,Janet put  15 pinecones  in a compost pile for a month.,F,pinecones,How many of the pinecones do you think decomposed?,decomposed,put __ in a compost pile for a month,9,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,888,cause_effect_prior,Ronald,object_mid,Ronald left  15 bike lights  on (and unplugged) all day.,M,bike lights,How many of the bike lights do you think ran out of batteries?,ran out of batteries,left __ on (and unplugged) all day,11,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1620,cause_effect_prior,Emily,object_low,Emily saw  15 strawberries.,F,strawberries,How many of the strawberries do you think were green?,were green,saw __,8,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
0,1248,cause_effect_prior,Raymond,object_mid,Raymond left  15 crayons  in the hot sun.,M,crayons,How many of the crayons do you think melted?,melted,left __ in the hot sun,10,english,2,Female,23,,Yes,1,Windows,1080,1920,Firefox,3RWB1RTQDIMZA992C7VBD67YM56P8H,35EE6WR8LG2CIUU0ASXWIQMXNDW177,Language study,A 7-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.50,Fri Sep 18 07:44:31 PDT 2015,120,0,0,0,Reviewable,NotReviewed,1 condition,2400,259200,Sun Oct 18 07:44:31 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3RWB1RTQDIMZA992C7VBD67YM56P8H,3HRMW88U16PET15GFPV6R737F04M08,0,Submitted,Mon Sep 21 07:46:38 PDT 2015,Fri Sep 18 07:45:36 PDT 2015,Fri Sep 18 07:46:38 PDT 2015,,,,,,[],{},0.9974166666666666
