workerid,rt,trial_type,name,responsetype,gender,num_objects,object,effect,actual_cause,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,15099,cause_effect_prior,Margaret,confidence,F,15,computers,lit up,<strong>Margaret pressed the &quotecharon&quotechar button on  15 computers.</strong>,pressed the &quotecharon&quotechar button on __,0.59,F,3,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,15099,cause_effect_prior,Margaret,ci_low,F,15,computers,lit up,<strong>Margaret pressed the &quotecharon&quotechar button on  15 computers.</strong>,pressed the &quotecharon&quotechar button on __,1,F,3,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,15099,cause_effect_prior,Margaret,ci_high,F,15,computers,lit up,<strong>Margaret pressed the &quotecharon&quotechar button on  15 computers.</strong>,pressed the &quotecharon&quotechar button on __,15,F,3,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,15099,cause_effect_prior,Margaret,best_guess,F,15,computers,lit up,<strong>Margaret pressed the &quotecharon&quotechar button on  15 computers.</strong>,pressed the &quotecharon&quotechar button on __,15,F,3,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,10229,cause_effect_prior,Rachel,confidence,F,15,berries,froze,<strong>Rachel put  15 berries  in the freezer.</strong>,put __ in the freezer,0.64,M,4,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,10229,cause_effect_prior,Rachel,ci_low,F,15,berries,froze,<strong>Rachel put  15 berries  in the freezer.</strong>,put __ in the freezer,0,M,4,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,10229,cause_effect_prior,Rachel,ci_high,F,15,berries,froze,<strong>Rachel put  15 berries  in the freezer.</strong>,put __ in the freezer,15,M,4,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,10229,cause_effect_prior,Rachel,best_guess,F,15,berries,froze,<strong>Rachel put  15 berries  in the freezer.</strong>,put __ in the freezer,15,M,4,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,16934,cause_effect_prior,Anna,confidence,F,15,ice cubes,melted,<strong>Anna left  15 ice cubes  in the hot sun.</strong>,left __ in the hot sun,0.99,M,5,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
0,16934,cause_effect_prior,Anna,ci_low,F,15,ice cubes,melted,<strong>Anna left  15 ice cubes  in the hot sun.</strong>,left __ in the hot sun,15,M,5,English,2,Female,25,Thank you ,Yes,3,iPhone/iPod,568,320,Safari,337F8MIIMYCV3RIGJJQ8HTQL7DL404,3ISUSNUB1ZE72UJGCQMJRE1OL4JK2O,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.80,Tue May 05 10:43:03 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 10:43:03 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMYCV3RIGJJQ8HTQL7DL404,3FIJLY1B6U3BB8HJAN6JBIK5381FPB,0,Submitted,Wed May 06 03:30:01 PDT 2015,Tue May 05 10:46:34 PDT 2015,Tue May 05 10:50:01 PDT 2015,,,,,,[],{},3.3986666666666667
